,superhost,host_listings_count,neighbourhoodid,borough_id,latitude,longitude,room_typeid,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable
superhost,1.0,-0.04779660785501302,-0.014438165852030253,-0.008271394569323838,-0.03672086314354947,0.0931095806142185,-0.026009868523129656,0.0752060709119148,-0.0024504713674988973,0.0408319260683832,0.07492619647428306,-0.006700521506351632,-0.12477004133731867,-0.002568793219509007,0.08056141309023887,0.10575418908055938,0.1192243359656124,0.12206121299620962,0.33669594646165896,-0.019285187439804768
host_listings_count,-0.04779660785501302,1.0,0.059861926287557266,0.06250229773310075,0.042683688010948316,-0.07877955459533587,-0.08424617836223597,-0.01190881364422738,-0.003981913739672213,-0.010029336036273106,-0.024931472712505284,0.0451851502013261,0.02519065323685093,-0.0007537334535714927,-0.015346863086701287,0.0014308815358561819,0.013150089292422553,0.09074853831682733,-0.06148993037093584,0.13619043859887062
neighbourhoodid,-0.014438165852030253,0.059861926287557266,1.0,0.9155633639574419,0.22738214227492967,0.0873735735990905,-0.000614274150138583,-0.011932515631795915,-0.040195016748632094,-0.01772472274154198,-0.001528394153553452,0.04067233968526652,0.011319873706808599,0.0037191445991307114,0.041840345609875707,0.05080611250421757,0.053686504659307216,0.04641377651161241,-0.023385364598576625,0.010798680956646543
borough_id,-0.008271394569323838,0.06250229773310075,0.9155633639574419,1.0,0.25249669172712436,0.12106046121143382,0.018554346238662592,-0.012197231111116594,-0.03430877324534633,-0.02519783832573014,0.00046852048763419604,0.03513152049987542,0.0038803538869542553,0.002012987262429628,0.07365018015227787,0.081032241619958,0.08324990186123052,0.07124373106377332,-0.00953708627685931,0.030969391788193846
latitude,-0.03672086314354947,0.042683688010948316,0.22738214227492967,0.25249669172712436,1.0,0.07856886428548326,0.01790187082313562,-0.04194756806644766,-0.045987854217954066,-0.06384989528599015,-0.047559409149016685,0.027156137092136018,0.03923297270009073,0.005800466156341921,0.02522646347955184,0.022121922145395465,0.02025717921469862,0.0224970695810276,-0.03906924441856814,0.026004315059407476
longitude,0.0931095806142185,-0.07877955459533587,0.0873735735990905,0.12106046121143382,0.07856886428548326,1.0,0.15139855525680665,-0.009024109707863274,-0.0024811144637639274,-0.0051470950391673004,0.021867662393017368,-0.10492717006603565,-0.06914090162076598,-0.0029198969040186836,0.07254091122633519,0.09268286955218512,0.10204384548226031,0.0684122491577093,0.07511713609062443,0.010521402568137769
room_typeid,-0.026009868523129656,-0.08424617836223597,-0.000614274150138583,0.018554346238662592,0.01790187082313562,0.15139855525680665,1.0,-0.4155987940616283,-0.012351845156854915,-0.32164340171548045,-0.24566055346753654,-0.15487043694180982,-0.044593733224479945,-0.004394745113152008,0.06498641787220279,0.0536101566446998,0.04465250038829045,0.014521400073592467,0.001112666084997965,0.08281753738343944
accommodates,0.0752060709119148,-0.01190881364422738,-0.011932515631795915,-0.012197231111116594,-0.04194756806644766,-0.009024109707863274,-0.4155987940616283,1.0,0.3540608745348171,0.7114647631810577,0.7240614656264531,0.2911935320237393,-0.056188237072580374,-0.005123611085383992,0.07578373822249382,0.08061505171195515,0.08456304996343643,0.1138983377490399,0.07054358199425646,0.005586633473256
bathrooms,-0.0024504713674988973,-0.003981913739672213,-0.040195016748632094,-0.03430877324534633,-0.045987854217954066,-0.0024811144637639274,-0.012351845156854915,0.3540608745348171,1.0,0.4641114999504679,0.38642873698889874,0.21446023187656219,0.0006140200073776192,-0.0018005623596481367,0.056907587378452175,0.06037287236404186,0.0617675859655924,0.0891334871852258,-0.04216800349692746,0.020245543537600236
bedrooms,0.0408319260683832,-0.010029336036273106,-0.01772472274154198,-0.02519783832573014,-0.06384989528599015,-0.0051470950391673004,-0.32164340171548045,0.7114647631810577,0.4641114999504679,1.0,0.7085717709399069,0.262159769488274,-0.011284671911694199,5.6437391791389115e-05,0.06248763745392012,0.06564925284869384,0.0687268668669799,0.09088241719258731,-0.0003854909962823717,-0.03161252123331519
beds,0.07492619647428306,-0.024931472712505284,-0.001528394153553452,0.00046852048763419604,-0.047559409149016685,0.021867662393017368,-0.24566055346753654,0.7240614656264531,0.38642873698889874,0.7085717709399069,1.0,0.21437600181626587,-0.03892292103556595,-0.0024999950194394363,0.07750664268169914,0.08130773078558481,0.08469058319233468,0.10545067554708774,0.06434556353395723,-0.015652001251442102
price,-0.006700521506351632,0.0451851502013261,0.04067233968526652,0.03513152049987542,0.027156137092136018,-0.10492717006603565,-0.15487043694180982,0.2911935320237393,0.21446023187656219,0.262159769488274,0.21437600181626587,1.0,0.01887170660130844,-0.00030269220837109454,0.04780435387425875,0.04322097280529886,0.04219886920358257,0.04529018340207907,-0.03984217009836814,0.004704852460651968
minimum_nights,-0.12477004133731867,0.02519065323685093,0.011319873706808599,0.0038803538869542553,0.03923297270009073,-0.06914090162076598,-0.044593733224479945,-0.056188237072580374,0.0006140200073776192,-0.011284671911694199,-0.03892292103556595,0.01887170660130844,1.0,0.0012570656742416214,-0.03464622253276622,-0.04604565752629216,-0.05034419347155372,-0.012876857940442467,-0.13239899353988885,-0.0427740162937577
maximum_nights,-0.002568793219509007,-0.0007537334535714927,0.0037191445991307114,0.002012987262429628,0.005800466156341921,-0.0029198969040186836,-0.004394745113152008,-0.005123611085383992,-0.0018005623596481367,5.6437391791389115e-05,-0.0024999950194394363,-0.00030269220837109454,0.0012570656742416214,1.0,-0.004529965590599326,-0.00498745662622761,-0.005193533142353746,-0.0047001056310232246,-0.002234917562830422,-0.0033857238363656796
availability_30,0.08056141309023887,-0.015346863086701287,0.041840345609875707,0.07365018015227787,0.02522646347955184,0.07254091122633519,0.06498641787220279,0.07578373822249382,0.056907587378452175,0.06248763745392012,0.07750664268169914,0.04780435387425875,-0.03464622253276622,-0.004529965590599326,1.0,0.9553909975472145,0.9115833920233108,0.6670808821488933,0.0930563425838125,0.04296781356148573
availability_60,0.10575418908055938,0.0014308815358561819,0.05080611250421757,0.081032241619958,0.022121922145395465,0.09268286955218512,0.0536101566446998,0.08061505171195515,0.06037287236404186,0.06564925284869384,0.08130773078558481,0.04322097280529886,-0.04604565752629216,-0.00498745662622761,0.9553909975472145,1.0,0.9850254333331345,0.7385916633154904,0.11270609008344985,0.042409418708409946
availability_90,0.1192243359656124,0.013150089292422553,0.053686504659307216,0.08324990186123052,0.02025717921469862,0.10204384548226031,0.04465250038829045,0.08456304996343643,0.0617675859655924,0.0687268668669799,0.08469058319233468,0.04219886920358257,-0.05034419347155372,-0.005193533142353746,0.9115833920233108,0.9850254333331345,1.0,0.7767479970513291,0.1245931554294086,0.044020299512757995
availability_365,0.12206121299620962,0.09074853831682733,0.04641377651161241,0.07124373106377332,0.0224970695810276,0.0684122491577093,0.014521400073592467,0.1138983377490399,0.0891334871852258,0.09088241719258731,0.10545067554708774,0.04529018340207907,-0.012876857940442467,-0.0047001056310232246,0.6670808821488933,0.7385916633154904,0.7767479970513291,1.0,0.14699892316815896,0.0663194944313046
number_of_reviews,0.33669594646165896,-0.06148993037093584,-0.023385364598576625,-0.00953708627685931,-0.03906924441856814,0.07511713609062443,0.001112666084997965,0.07054358199425646,-0.04216800349692746,-0.0003854909962823717,0.06434556353395723,-0.03984217009836814,-0.13239899353988885,-0.002234917562830422,0.0930563425838125,0.11270609008344985,0.1245931554294086,0.14699892316815896,1.0,-0.014243117796650932
instant_bookable,-0.019285187439804768,0.13619043859887062,0.010798680956646543,0.030969391788193846,0.026004315059407476,0.010521402568137769,0.08281753738343944,0.005586633473256,0.020245543537600236,-0.03161252123331519,-0.015652001251442102,0.004704852460651968,-0.0427740162937577,-0.0033857238363656796,0.04296781356148573,0.042409418708409946,0.044020299512757995,0.0663194944313046,-0.014243117796650932,1.0
